var_num,feature_volumes,feature_diameters,intersects_bounds,percolated
0,391515.56171172,706.04043478441,1,0
1,387201.94278233,702.1401749998,1,0
2,387266.77043741,702.19895078445,1,0
3,382880.4466624,698.21094634532,1,0
4,389168.64654,703.92109667617,0,0
5,384959.72709019,700.10424056828,0,0
6,385042.94103183,700.17990469797,0,0
7,380796.52027607,696.30825653086,1,0
8,390231.56302604,704.88173309327,1,0
9,384944.04380278,700.08997927407,0,0
10,384775.80475399,699.93697607005,0,0
11,382086.231417,697.48641516445,1,0
12,386880.86293597,701.8489964311,0,0
13,383857.15617871,699.10093032145,0,0
14,384154.02896814,699.37121827508,0,0
15,378661.73985795,694.35372920822,1,0
