var_num,feature_volumes,feature_diameters,intersects_bounds,percolated
0,391764.97389469,706.26528797956,1,0
1,387155.07002946,702.09767490444,1,0
2,387269.08856408,702.20105241543,1,0
3,382608.88182864,697.96329309723,1,0
4,389435.64786519,704.16252881811,0,0
5,384964.12093627,700.10823597517,0,0
6,385110.42633341,700.24126120754,0,0
7,380575.12657111,696.10581156382,1,0
8,390876.43924504,705.46391796609,1,0
9,384876.43411924,700.02849638945,0,0
10,384158.22443679,699.3750372927,0,0
11,381907.05126467,697.32285211613,1,0
12,387157.71077738,702.1000693711,0,0
13,384295.43519794,699.49992491439,0,0
14,384128.72722642,699.34818636603,0,0
15,378007.40551729,693.75354190617,1,0
