var_num,feature_volumes,feature_diameters,intersects_bounds,percolated
0,393961.37540618,708.24233300856,1,0
1,386164.51162745,701.19892111826,1,0
2,387018.11345068,701.97347996502,1,0
3,382305.26902119,697.68630965384,1,0
4,390216.50959715,704.86813733323,0,0
5,385703.68420542,700.78041017168,0,0
6,386960.69469391,701.92140496104,0,0
7,379404.12497008,695.0340533726,1,0
8,404520.81197336,717.67116040207,1,0
9,382304.80921234,697.68589009065,0,0
10,374526.65172491,690.55205707709,0,0
11,378319.69666552,694.04005528986,1,0
12,385879.15478575,700.93979724524,0,0
13,397056.4137017,711.01893604582,0,0
14,380382.35431647,695.92949041924,0,0
15,369030.0001994,685.46596519995,1,0
