var_num_lower,var_num_upper,var_num,feature_volumes_lower,feature_volumes_upper,feature_volumes,feature_diameters_lower,feature_diameters_upper,feature_diameters,intersects_bounds_lower,intersects_bounds_upper,intersects_bounds,percolated_lower,percolated_upper,percolated
0,0.75,1,368495.111562,370353.47543103,1,684.96901249789,686.65471677517,1,0,0.05,8,0,0,16
0.75,1.5,1,370353.47543103,372211.83930006,0,686.65471677517,688.34042105246,0,0.05,0.1,0,0,0,0
1.5,2.25,1,372211.83930006,374070.2031691,1,688.34042105246,690.02612532974,0,0.1,0.15,0,0,0,0
2.25,3,1,374070.2031691,375928.56703813,0,690.02612532974,691.71182960703,1,0.15,0.2,0,0,0,0
3,3.75,0,375928.56703813,377786.93090717,0,691.71182960703,693.39753388432,0,0.2,0.25,0,0,0,0
3.75,4.5,1,377786.93090717,379645.2947762,2,693.39753388432,695.0832381616,2,0.25,0.3,0,0,0,0
4.5,5.25,1,379645.2947762,381503.65864524,1,695.0832381616,696.76894243889,1,0.3,0.35,0,0,0,0
5.25,6,1,381503.65864524,383362.02251427,2,696.76894243889,698.45464671617,2,0.35,0.4,0,0,0,0
6,6.75,0,383362.02251427,385220.3863833,0,698.45464671617,700.14035099346,0,0.4,0.45,0,0,0,0
6.75,7.5,1,385220.3863833,387078.75025234,4,700.14035099346,701.82605527075,3,0.45,0.5,0,0,0,0
7.5,8.25,1,387078.75025234,388937.11412137,1,701.82605527075,703.51175954803,2,0.5,0.55,0,0,0,0
8.25,9,1,388937.11412137,390795.47799041,1,703.51175954803,705.19746382532,1,0.55,0.6,0,0,0,0
9,9.75,0,390795.47799041,392653.84185944,0,705.19746382532,706.88316810261,0,0.6,0.65,0,0,0,0
9.75,10.5,1,392653.84185944,394512.20572848,1,706.88316810261,708.56887237989,1,0.65,0.7,0,0,0,0
10.5,11.25,1,394512.20572848,396370.56959751,0,708.56887237989,710.25457665718,0,0.7,0.75,0,0,0,0
11.25,12,1,396370.56959751,398228.93346654,1,710.25457665718,711.94028093446,1,0.75,0.8,0,0,0,0
12,12.75,0,398228.93346654,400087.29733558,0,711.94028093446,713.62598521175,0,0.8,0.85,0,0,0,0
12.75,13.5,1,400087.29733558,401945.66120461,0,713.62598521175,715.31168948904,0,0.85,0.9,0,0,0,0
13.5,14.25,1,401945.66120461,403804.02507365,0,715.31168948904,716.99739376632,0,0.9,0.95,0,0,0,0
14.25,15,1,403804.02507365,405662.38894268,1,716.99739376632,718.68309804361,1,0.95,1,8,0,0,0
