var_num,feature_volumes,feature_diameters,intersects_bounds,percolated
0,394111.77188992,708.3775074181,1,0
1,385861.71508031,700.92395767272,1,0
2,387019.69379997,701.97491318238,1,0
3,382566.99006695,697.92508212812,1,0
4,389855.91441695,704.54238125506,0,0
5,386224.25972677,701.25316442793,0,0
6,387691.57469148,702.58397651657,0,0
7,379157.5996942,694.80821067221,1,0
8,411084.82318202,723.47042311059,1,0
9,381549.73130929,696.9965611006,0,0
10,372276.07045185,688.47412039808,0,0
11,374575.1481067,690.59676443239,0,0
12,385133.20572392,700.2619706355,0,0
13,401640.97352445,715.11199841511,0,0
14,378459.91644342,694.16866229536,0,0
15,366475.68044298,683.08954648987,1,0
