var_num,feature_volumes,feature_diameters,intersects_bounds,percolated
0,393938.46319425,708.2217375449,1,0
1,386203.26559527,701.23410503323,1,0
2,387009.48393781,701.96565381589,1,0
3,382282.89817609,697.66589656781,1,0
4,390238.95991537,704.88841362344,0,0
5,385638.89145164,700.72154710988,0,0
6,386878.94977564,701.84726107605,0,0
7,379422.77100573,695.05113208849,1,0
8,403973.58092725,717.18556752409,1,0
9,382404.73778146,697.77706628796,0,0
10,374820.29649779,690.82271507988,0,0
11,378564.12004235,694.26422049231,1,0
12,385964.07742075,701.01692291936,0,0
13,396653.42781887,710.65802595464,0,0
14,380502.86895002,696.03972561367,0,0
15,369320.11901657,685.73535726124,1,0
