var_num,feature_volumes,feature_diameters,intersects_bounds,percolated
0,392098.30470999,706.56568483077,1,0
1,387058.52618297,702.01012931657,1,0
2,387272.25583551,702.20392387722,1,0
3,382378.69793591,697.75330832346,1,0
4,389683.90678538,704.38693916486,0,0
5,384963.69973486,700.1078529698,0,0
6,385256.36698182,700.37392962778,0,0
7,380325.31673551,695.8773118385,1,0
8,391730.95215338,706.23462048985,1,0
9,384729.00221034,699.89440605045,0,0
10,383298.71628908,698.59221511944,0,0
11,381818.99972475,697.24246097091,1,0
12,387344.16915329,702.26911763836,0,0
13,384998.035491,700.13907435058,0,0
14,383969.35109358,699.20309050994,0,0
15,377195.18126087,693.00780721785,1,0
