var_num,feature_volumes,feature_diameters,intersects_bounds,percolated
0,394232.55151142,708.48604390361,1,0
1,385498.4325349,700.5939257065,1,0
2,386940.41496881,701.90301167221,1,0
3,382950.97324117,698.27524861295,1,0
4,389521.11754085,704.23979606554,0,0
5,386408.81976012,701.42069384431,0,0
6,388218.10272336,703.06090800829,0,0
7,378891.3073749,694.56417680883,1,0
8,414412.771743,726.39295758322,1,0
9,381042.15153097,696.53279573915,0,0
10,370685.28990353,687.0015791516,0,0
11,373123.41006443,689.25719492833,0,0
12,384604.49945481,699.78114992399,0,0
13,405296.17343022,718.35862585564,0,0
14,378131.5315938,693.86743628484,0,0
15,363703.12053283,680.50069478729,1,0
